X,Y,FID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,NAICS_DESC,SOURCE,WEBSITE,TTL_STAFF,BEDS,TRAUMA,HELIPAD,IP Address,No of Access Points connected,Patients,Suggestive Factor,Recommended
-13419090.8379,5083409.8081,11,MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,96101,GENERAL ACUTE CARE,87,MODOC,USA,41.4800562550001,-120.545743987,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.modocmedicalcenter.org,55,87,0,0,162.173.60.23,109,89,0.3020451963135967,No
-13541568.9741,4391685.9988,12,SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,93901,GENERAL ACUTE CARE,269,MONTEREY,USA,36.659030456,-121.645983804,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.svmh.com,64,269,0,1,62.240.114.108,37,17,30.285467128027683,Yes
-10842096.3146,3221077.5795,13,CORPUS CHRISTI SPECIALTY HOSPITAL,1310 THIRD STREET,CORPUS CHRISTI,TX,78414,GENERAL ACUTE CARE,189,NUECES,USA,27.778510168,-97.396208313,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.dshs.state.tx.us/chs/hosp/hosp2.shtm,NOT AVAILABLE,55,189,0,0,133.208.44.174,17,-3,577.5,Yes
-13117208.8406,3999664.7722,14,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,ORANGE,CA,92866,CHILDREN,27,ORANGE,USA,33.7827271730001,-117.833891865,"CHILDREN'S HOSPITALS, GENERAL",http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.healthbridgeorange.com,84,27,0,0,160.203.17.23,111,91,0.13693998309382927,No
-13116893.1125,3994942.3714,15,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,92680,GENERAL ACUTE CARE,48,ORANGE,USA,33.7474607400001,-117.831055631,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.tustinrehab.com,97,48,0,0,236.184.157.89,25,5,93.11999999999999,Yes
-13123894.3471,4020009.8117,16,KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,92621,GENERAL ACUTE CARE,86,ORANGE,USA,33.934495886,-117.893948792,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.kindredhospitalbrea.com/,107,86,0,1,50.163.113.119,31,11,38.52479338842975,Yes
-13135171.8098,3997094.3367,17,KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,92683,GENERAL ACUTE CARE,109,ORANGE,USA,33.7635332090001,-117.995255963,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.khwestminster.com/,61,109,0,0,86.223.189.120,145,125,0.21276799999999998,No
-13285784.6947,4344859.2874,18,KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,93277,GENERAL ACUTE CARE,63,TULARE,USA,36.320843946,-119.348234528,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.kaweahdelta.org,112,63,0,0,102.74.154.92,38,18,10.88888888888889,Yes
-9128761.2314,3612671.4622,19,CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,31537,GENERAL ACUTE CARE,-999,CHARLTON,USA,30.845275348,-82.005057392,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://167.193.144.247/,http://www.southcoast.org/charlton/,61,-999,0,0,143.12.85.67,104,84,-4.318239795918367,No
-10218519.6529,3504437.7019,20,DAUTERIVE HOSPITAL,600 N LEWIS AVE.,NEW IBERIA,LA,70563,GENERAL ACUTE CARE,103,IBERIA,USA,30.006906977,-91.794523853,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.dauterivehospital.com,67,103,1,0,222.235.222.180,78,58,1.5257134363852556,Yes
-10624209.6726,3674846.9327,21,CROCKETT MEDICAL CENTER,1100 EAST LOOP 304,CROCKETT,TX,77954,GENERAL ACUTE CARE,25,HOUSTON,USA,31.32360364,-95.4388993059999,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://hhs.texas.gov/doing-business-hhs/provider-portals/health-care-facilities-regulation,http://crockettmedicalcenter.com/,140,25,1,1,243.39.127.248,146,126,1.1102292768959436,Yes
-10290388.7696,3675338.9148,22,CENTRAL LOUISIANA STATE HOSPITAL,242 W SHAMROCK AVE,PINEVILLE,LA,71360,PSYCHIATRIC,128,RAPIDES,USA,31.3273789420001,-92.4401351129999,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.dhh.la.gov/omh/inpatient-serv/clsh.htm,130,128,1,0,141.207.83.12,97,77,1.903272052622702,Yes
-10314490.9498,3871965.0368,23,REEVES MEMORIAL MEDICAL CENTER,409 1ST ST,BERNICE,LA,71222,GENERAL ACUTE CARE,11,UNION,USA,32.8239916700001,-92.656648681,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://reevesmemorial.com/,103,11,1,1,4.167.9.85,112,92,1.066930529300567,Yes
-10286547.2158,3865626.2522,24,SERENITY SPRINGS SPECIALTY HOSPITAL,309 N MAIN ST,FARMERVILLE,LA,71241,PSYCHIATRIC,18,UNION,USA,32.776127934,-92.4056258479999,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.serenityhospital.com,66,18,1,0,26.59.137.121,62,42,0.8367346938775511,No
-10177503.2218,3705844.8492,25,RIVERBRIDGE SPECIALTY HOSPITAL,209 FRONT ST.,VIDALIA,LA,71373,LONG TERM CARE,40,CONCORDIA,USA,31.5611748630001,-91.4260669829999,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://www.promise-misslou.com,138,40,1,1,70.128.192.36,34,14,15.081632653061225,Yes
-10252429.1078,3771194.3866,26,CITIZENS MEDICAL CENTER,7939 HIGHWAY 165,COLUMBIA,LA,71418,GENERAL ACUTE CARE,40,CALDWELL,USA,32.0600399510001,-92.099137669,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,NOT AVAILABLE,115,40,0,0,132.125.140.52,22,2,575.0,Yes
-9252761.6789,4066899.3388,27,BROWN MEMORIAL CONVALESCENT CENTER,545 COOK STREET,ROYSTON,GA,30662,LONG TERM CARE,144,FRANKLIN,USA,34.2832503650001,-83.118972365,"EXTENDED CARE HOSPITALS (EXCEPT MENTAL, SUBSTANCE ABUSE)",http://167.193.144.247/,http://tycobbhealthcare.com/programsservices/longtermcare/brownmemorialconvalescentcenter.aspx,105,144,1,1,174.32.104.70,136,116,1.5618311533888227,Yes
-13157227.982,4002928.6307,28,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,LONG BEACH,CA,90806,GENERAL ACUTE CARE,121,LOS ANGELES,USA,33.8070928700001,-118.193389929,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.collegemedicalcenter.com,54,121,1,1,225.213.133.190,33,13,20.331360946745566,Yes
-13599307.1339,4538033.4752,29,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,SAN LEANDRO,CA,94577,GENERAL ACUTE CARE,216,ALAMEDA,USA,37.706406198,-122.164654518,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.kaiserpermanente.org,108,216,1,0,202.197.134.53,135,115,1.3819659735349716,Yes
-13153763.4008,4013321.4035,30,KINDRED HOSPITAL PARAMOUNT,16453 SOUTH COLORADO AVENUE,PARAMOUNT,CA,90723,LONG TERM CARE,177,LOS ANGELES,USA,33.8846318610001,-118.162267066,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.promiseeastla.com/,126,177,1,0,121.254.197.47,32,12,77.9375,Yes
-13143268.4893,4019142.4835,31,DEPARTMENT OF STATE HOSPITAL-METROPOLITAN,11401 BLOOMFIELD AVENUE,NORWALK,CA,90650,PSYCHIATRIC,1265,LOS ANGELES,USA,33.928031349,-118.067989672,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.dsh.ca.gov/metropolitan/default.asp,113,1265,1,1,64.20.252.204,194,174,3.3606982428326067,Yes
-9946297.2054,4591418.6504,32,PINCKNEYVILLE COMMUNITY HOSPITAL,5383 STATE ROUTE 154,PINCKNEYVILLE,IL,62274,CRITICAL ACCESS,-999,PERRY,USA,38.084846,-89.3491079999999,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://data.illinois.gov/dataset/410idph_hospital_directory,http://www.pvillehosp.org/,48,17,1,0,42.109.197.238,30,10,4.58,Yes
-9034083.8906,3761398.2823,33,ST JOSEPH'S HOSPITAL - SAVANNAH,11705 MERCY BOULEVARD,SAVANNAH,GA,31419,GENERAL ACUTE CARE,-999,CHATHAM,USA,31.985430321,-81.154556369,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,NOT AVAILABLE,72,294,1,0,179.52.107.218,175,155,0.9405411030176899,No
-9482220.9015,4063728.7367,34,KINDRED HOSPITAL ROME,320 TURNER MCCALL BOULEVARD,ROME,GA,30165,LONG TERM CARE,45,FLOYD,USA,34.259713445,-85.1802396319999,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.gamap2care.info/,NOT AVAILABLE,53,45,1,1,6.27.137.208,169,149,1.0537137966758254,Yes
-9388297.0132,3880221.5915,35,UPSON REGIONAL MEDICAL CENTER,801 W GORDON STREET,THOMASTON,GA,30286,GENERAL ACUTE CARE,115,UPSON,USA,32.886297701,-84.3365069879999,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,NOT AVAILABLE,98,115,0,1,20.23.35.171,134,114,0.9335949522930133,No
-9379340.6045,3772103.6877,36,PHOEBE SUMTER MEDICAL CENTER,126 HIGHWAY 280 W,AMERICUS,GA,31719,GENERAL ACUTE CARE,76,SUMTER,USA,32.0669623380001,-84.2560501999999,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,http://www.phoebeputney.com/phoebecontentpage.aspx?nd=1479,73,76,0,1,64.57.230.20,104,84,0.8931405895691611,No
-9427908.7084,3880444.702,37,ROOSEVELT WARM SPRINGS LTAC HOSPITAL,6135 ROOSEVELT HIGHWAY,WARM SPRINGS,GA,31830,LONG TERM CARE,32,MERIWETHER,USA,32.887980741,-84.6923449,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,http://www.gamap2care.info/,NOT AVAILABLE,88,32,0,1,254.27.208.37,160,140,0.5718367346938775,No
-9435189.2025,3946496.4393,38,SOUTHEASTERN REGIONAL MEDICAL CENTER,600 CELEBRATE LIFE PKWY,NEWNAN,GA,30265,GENERAL ACUTE CARE,25,COWETA,USA,33.3848346460001,-84.757746692,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.gamap2care.info/,http://www.cancercenter.com/southeastern/,92,50,1,0,63.133.221.200,22,2,575.5,Yes
-7342164.9577,2082127.1615,39,DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA,"CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO",CAROLINA,PR,984,GENERAL ACUTE CARE,-999,METRO,PRI,18.3804430000001,-65.95579,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,https://www.tuhospitalfamiliar.com/,128,988,1,0,118.23.136.59,65,45,31.72567901234568,Yes
-9787746.9791,5546692.6765,40,BROWN CTY COMMUNITY TREATMENT CENTER,3150 GERSHWIN DRIVE,GREEN BAY,WI,54311,PSYCHIATRIC,16,BROWN,USA,44.522712261,-87.924827084,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,http://www.co.brown.wi.us/,54,16,1,0,154.19.141.14,187,167,0.5154899781275771,No
-9800263.6022,5317424.4112,41,WHEATON FRANCISCAN WI HEART SPINE AND ORTHO,10000 WEST BLUEMOUND ROAD,WAUWATOSA,WI,53226,GENERAL ACUTE CARE,40,MILWAUKEE,USA,43.0358121520001,-88.037265823,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,NOT AVAILABLE,133,40,1,1,195.162.147.251,11,-9,33.839506172839506,Yes
-7364273.1487,2080627.2123,42,HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES,"AVE LAUREL 100, URB. SANTA JUANITA",BAYAMON,PR,956,PSYCHIATRIC,-999,BAYAMON,PRI,18.3676556610001,-66.154391259,"CHILDREN'S HOSPITALS, PSYCHIATRIC OR SUBSTANCE ABUSE",http://www.salud.gov.pr/servicios-al-ciudadano/pages/directorio-de-hospitales-publicos-y-privados.aspx,NOT AVAILABLE,111,-999,0,0,105.225.89.204,171,151,-2.4316696636112454,No
-10295047.791,3665544.5104,43,COMPASS BEHAVIORAL CENTER OF ALEXANDRIA,6410 MASONIC DRIVE,ALEXANDRIA,LA,71301,GENERAL ACUTE CARE,-999,RAPIDES,USA,31.252191558,-92.481987814,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,NOT AVAILABLE,138,18,1,1,232.81.170.170,71,51,1.4775086505190311,Yes
-10081677.9475,3465387.9957,44,OCSHNER ST. ANNE GENERAL HOSPITAL,4608 HIGHWAY 1,RACELAND,LA,70394,GENERAL ACUTE CARE,38,LAFOURCHE,USA,29.7026714240001,-90.565253898,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,https://www.ochsner.org/locations/ochsner-st-anne/,56,38,1,0,1.250.42.157,108,88,0.637396694214876,No
-10153524.2804,3611032.7229,45,FELICIANA FORENSIC FACILITY,4502 HWY 951,JACKSON,LA,70748,GENERAL ACUTE CARE,-999,EAST FELICIANA,USA,30.832635688,-91.210660488,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://new.dhh.louisiana.gov/index.cfm/directory/detail/219,60,-999,0,1,36.9.35.17,68,48,-12.5078125,No
-10022170.7725,3486334.3608,46,UNITED MEDICAL HEALTHWEST-NEW ORLEANS,3201 WALL BOULEVARD,GRETNA,LA,70056,REHABILITATION,-999,JEFFERSON,USA,29.865979474,-90.03069185,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://new.dhh.louisiana.gov/index.cfm/directory/category/169,http://umrhospital.com/locations/new-orleans/,89,14,1,1,87.27.184.212,139,119,1.0439940682155215,Yes
-9887146.8736,5439847.1741,48,RIPON MEDICAL CENTER,845 PARKSIDE ST,RIPON,WI,54971,CRITICAL ACCESS,18,FOND DU LAC,USA,43.8343760920001,-88.817751529,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,http://www.agnesian.com/locations/hospitals/ripon-medical-center,78,18,1,0,148.171.179.154,69,49,0.7923781757601,No
-7951901.8331,5135867.764,49,VA MEDICAL CENTER - PROVIDENCE,830 CHALKSTONE AVE,PROVIDENCE,RI,2908,GENERAL ACUTE CARE,-999,PROVIDENCE,USA,41.8321390840001,-71.4331495449999,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,http://www.providence.va.gov/,40,-999,1,1,18.122.225.135,51,31,-19.790842872008323,No
-10073670.1928,5465918.938,50,TOMAH VA MEDICAL CENTER,500 E VETERANS ST,TOMAH,WI,54660,MILITARY,-999,MONROE,USA,44.00308068,-90.493319014,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.va.gov/directory/guide/allstate.asp,http://www.tomah.va.gov/,58,-999,1,0,185.66.203.179,56,36,-21.854166666666668,No
-9983335.7911,5649213.7432,51,ASCENSION GOOD SAMARITAN HLTH CTR,601 S CENTER AVE,MERRILL,WI,54452,GENERAL ACUTE CARE,25,LINCOLN,USA,45.1756325370001,-89.681831276,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://www.dhs.wisconsin.gov/guide/hospital.htm,http://www.ministryhealth.org,133,25,0,0,158.160.73.124,55,35,1.3571428571428572,Yes
-13626838.6246,4951554.4861,52,RESTPADD PSYCHIATRIC HEALTH FACILITY,2750 EUREKA WAY,REDDING,CA,96001,PSYCHIATRIC,16,SHASTA,USA,40.586595392,-122.411974107,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.restpadd.com/,140,16,0,0,236.199.54.15,129,109,0.09426815924585473,No
-13408676.2693,4114439.3459,53,THE CHAMPION CENTER,303 SOUTH C STREET,LOMPOC,CA,93436,REHABILITATION,34,SANTA BARBARA,USA,34.6353716090001,-120.452188325,"REHABILITATION HOSPITALS (EXCEPT ALCOHOLISM, DRUG ADDICTION)",http://www.oshpd.ca.gov/hid/facility-listing.html,https://championrecovery.com/,90,34,0,0,226.60.135.163,176,156,0.0628698224852071,No
-9424385.989,3774626.8739,54,STEWART WEBSTER HOSPITAL,580 ALSTON STREET,RICHLAND,GA,31825,CRITICAL ACCESS,25,STEWART,USA,32.08616827,-84.660699774,"HOSPITALS, SPECIALTY (EXCEPT PSYCHIATRIC, SUBSTANCE ABUSE)",http://www.gamap2care.info/locator.html#,http://www.stewartcountyga.gov/stewartwebsterhospital.htm,77,25,0,0,169.159.23.147,18,-2,240.625,Yes
-13092129.3903,4033110.3411,55,KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS,2295 S. VINEYARD AVENUE,ONTARIO,CA,91761,GENERAL ACUTE CARE,176,SAN BERNARDINO,USA,34.0320795600001,-117.60859933,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.kaiserpermanente.org,54,176,0,1,213.180.23.105,192,172,0.6606273661438615,No
-13052392.5006,4035155.7872,56,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL,25333 BARTON ROAD,LOMA LINDA,CA,92354,GENERAL ACUTE CARE,134,SAN BERNARDINO,USA,34.047305635,-117.251636776,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.llumc.edu,150,134,0,0,24.8.217.224,184,164,0.37366151100535394,No
-13055218.1454,4046899.5999,57,ST. BERNARDINE MEDICAL CENTER,2101 NORTH WATERMAN AVENUE,SAN BERNARDINO,CA,92404,GENERAL ACUTE CARE,342,SAN BERNARDINO,USA,34.1346723570001,-117.277019975,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.stbernardinemedicalcenter.com,89,342,0,1,170.83.78.67,157,137,1.3108583302253716,Yes
-13034973.5354,3867669.9502,58,KAISER FND HOSP - SAN DIEGO,4647 ZION AVENUE,SAN DIEGO,CA,92120,GENERAL ACUTE CARE,414,SAN DIEGO,USA,32.7915625750001,-117.095159549,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.kaiserpermanente.org,134,414,1,1,71.117.125.207,195,175,1.905730612244898,Yes
-13051416.7067,3881621.6961,59,SCRIPPS GREEN HOSPITAL,10666 NORTH TORREY PINES ROAD,LA JOLLA,CA,92037,GENERAL ACUTE CARE,173,SAN DIEGO,USA,32.896858901,-117.24287107,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.scrippshealth.org,67,173,0,1,189.157.216.59,141,121,0.8958404480568267,No
-13056015.5723,3900261.9075,60,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,354 SANTA FE DRIVE,ENCINITAS,CA,92024,GENERAL ACUTE CARE,194,SAN DIEGO,USA,33.0373447760001,-117.284183383,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.scripps.org,125,194,1,0,62.33.183.184,107,87,2.1019289205971727,Yes
-13041632.4747,3868561.6035,61,SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS,3003 HEALTH CENTER DRIVE,SAN DIEGO,CA,92123,WOMEN,206,SAN DIEGO,USA,32.7982957780001,-117.154977819,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.sharp.com,83,206,0,0,198.107.143.47,32,12,59.368055555555564,Yes
-13042829.5561,3862798.8674,62,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,GENERAL ACUTE CARE,390,SAN DIEGO,USA,32.754770233,-117.165731384,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,https://health.ucsd.edu/locations/pages/hillcrest.aspx,104,390,1,1,109.32.76.159,152,132,2.1639118457300275,Yes
-13631742.9746,4549310.467,63,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST,3700 CALIFORNIA STREET,SAN FRANCISCO,CA,94118,GENERAL ACUTE CARE,299,SAN FRANCISCO,USA,37.786509197,-122.456030633,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.cpmc.org,42,299,0,0,149.9.229.204,155,135,0.3445267489711934,No
-13628989.3646,4549901.4285,64,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS,2333 BUCHANAN STREET,SAN FRANCISCO,CA,94115,GENERAL ACUTE CARE,309,SAN FRANCISCO,USA,37.7907045380001,-122.431294533,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.cpmc.org,98,309,1,0,11.112.183.218,163,143,1.2404274047630692,Yes
-13631489.2785,4547561.1038,65,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO",450 STANYAN STREET,SAN FRANCISCO,CA,94117,GENERAL ACUTE CARE,403,SAN FRANCISCO,USA,37.77408876,-122.453751642,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/hid/facility-listing.html,http://www.stmarysmedicalcenter.org,91,403,0,1,115.19.10.150,198,178,1.0787305895720238,Yes
